ID	SentenceA	SentenceB	GoldLabel	GKR4NLILabel	Justification
1	We use a number of interesting categories related to probability theory.	There exists a number of interesting categories related to probability theory.	E	NEUTRAL	
2	We use a number of interesting categories related to probability theory.	There are no interesting categories related to probability theory.	C	CONTRADICTION	[EQUALS(lemma), EQUALS(lemma)]
3	We use a number of interesting categories related to probability theory.	There are no interesting categories related to topology.	N	NEUTRAL	
4	A notion of central importance in categorical topology is that of topological functor.	Topological functor is a notion of categorical topology.	E	ENTAILMENT	[SUBCLASS(lemma)]
5	A notion of central importance in categorical topology is that of topological functor.	There are no notions of importance in categorical topology.	C	NEUTRAL	
6	A notion of central importance in categorical topology is that of topological functor.	There are many notions of central importance in categorical topology.	N	NEUTRAL	
7	In the nilpotent case, this nerve is known to be a Kan complex.	There are nerves that are Kan complexes.	E	NEUTRAL	
8	In the nilpotent case, this nerve is known to be a Kan complex.	In the nilpotent case, this nerve is not known to be a Kan complex.	C	Exception found:null
9	In the nilpotent case, this nerve is known to be a Kan complex.	This nerve is not known to be a Kan complex.	N	Exception found:null
10	We worked through numerous examples to demonstrate the power of these notions.	We worked through two examples to demonstrate the power of these notions.	E	NEUTRAL	
11	We worked through numerous examples to demonstrate the power of these notions.	We did not work through numerous examples to demonstrate the power of these notions.	C	CONTRADICTION	[EQUALS(lemma)]
12	We worked through numerous examples to demonstrate the power of these notions.	We worked through more than 20 examples to demonstrate the power of these notions.	N	NEUTRAL	
13	If the category is additive, we define a sheaf of categories of analytic functions.	If the category is additive, we define a sheaf of categories of functions.	E	ENTAILMENT	[SUBCLASS(lemma)]
14	If the category is additive, we define a sheaf of categories of analytic functions.	If the category is additive, we do not define a sheaf of categories of analytic functions.	C	CONTRADICTION	[EQUALS(lemma)]
15	If the category is additive, we define a sheaf of categories of analytic functions.	If the category is non-additive, we define a sheaf of categories of analytic functions.	N	NEUTRAL	
16	We use these relations to define analytic versions of Arakelov compactifications of affine arithmetic varieties.	We can define analytic versions of Arakelov compactifications of affine arithmetic varieties.	E	NEUTRAL	
17	We use these relations to define analytic versions of Arakelov compactifications of affine arithmetic varieties.	These relations cannot be used to define analytic versions of Arakelov compactifications of affine arithmetic varieties.	C	NEUTRAL	
18	We use these relations to define analytic versions of Arakelov compactifications of affine arithmetic varieties.	We use these relations to define analytic versions of compactifications of non-varieties.	N	NEUTRAL	
19	These functors are used in the paper only to prove corollary 8.3.	These functors are used in the paper  to prove corollary 8.3.	E	ENTAILMENT	[SUBCLASS(lemma)]
20	These functors are used in the paper only to prove corollary 8.3.	These functors are not used in the paper  to prove corollary 8.3.	C	CONTRADICTION	[SUBCLASS(lemma)]
21	These functors are used in the paper only to prove corollary 8.3.	These natural transformations are used in the paper to prove corollary 8.5.	N	NEUTRAL	
22	A proof of this corollary is given without details.	There exists a proof of this corollary.	E	NEUTRAL	
23	A proof of this corollary is given without details.	There is no proof of this corollary without details.	C	CONTRADICTION	[EQUALS(lemma)]
24	A proof of this corollary is given without details.	A proof of this corollary is given without a computer program.	N	NEUTRAL	
25	Here ``balanced'' can be omitted if the category is additive.	For additive categories ``balanced" can be omitted here.	E	ENTAILMENT	[EQUALS(lemma)]
26	Here ``balanced'' can be omitted if the category is additive.	Here ``balanced'' cannot be omitted if the category is additive.	C	NEUTRAL	
27	Here ``balanced'' can be omitted if the category is additive.	Here ``balanced'' can be omitted if the category is multiplicative.	N	NEUTRAL	
28	We introduce the notion of mutation pairs in pseudo-triangulated categories.	We introduce the notion of mutation pairs.	E	ENTAILMENT	[SUBCLASS(lemma)]
29	We introduce the notion of mutation pairs in pseudo-triangulated categories.	We cannot introduce the notion of mutation pairs in pseudo-triangulated categories.	C	NEUTRAL	
30	We introduce the notion of mutation pairs in pseudo-triangulated categories.	We introduce the notation of mutation pairs in monoidal categories.	N	ENTAILMENT	[EQUALS(lemma)]
31	This result unifies many previous constructions of quotient triangulated categories.	This result unifies some previous constructions of quotient triangulated categories.	E	ENTAILMENT	[SUBCLASS(lemma)]
32	This result unifies many previous constructions of quotient triangulated categories.	This result is not related to any of the previous constructions of quotient triangulated categories.	C	NEUTRAL	
33	This result unifies many previous constructions of quotient triangulated categories.	This result unifies all previous constructions of quotient triangulated categories.	N	NEUTRAL	
34	We study extra assumptions on pretopologies that are needed for this theory.	We investigate additional assumptions on pretopologies that are needed for this theory.	E	Exception found:null
35	We study extra assumptions on pretopologies that are needed for this theory.	However, we will not be concerned with extra assumptions on pretopologies needed for this theory.	C	Exception found:null
36	We study extra assumptions on pretopologies that are needed for this theory.	We do not study the basic assumptions on pretopologies that are needed for this theory.	N	Exception found:null
37	We check these extra assumptions in several categories with pretopologies.	We check these extra assumptions in at least one category with a pretopology.	E	NEUTRAL	
38	We check these extra assumptions in several categories with pretopologies.	We will not check these extra assumptions in categories with pretopologies.	C	CONTRADICTION	[EQUALS(lemma), EQUALS(lemma)]
39	We check these extra assumptions in several categories with pretopologies.	We check these extra assumptions in  categories with tensor products.	N	NEUTRAL	
40	Functors between groupoids may be localised at equivalences in two ways.	Functors between groupoids can be localised at equivalences.	E	NEUTRAL	
41	Functors between groupoids may be localised at equivalences in two ways.	Unfortunately, it is not possible to localise functors between groupoids at equivalences.	C	NEUTRAL	
42	Functors between groupoids may be localised at equivalences in two ways.	Localisation of functors between groupoids is used to prove Theorem 5.3.	N	NEUTRAL	
43	We show that both approaches give equivalent bicategories.	Both approaches yield equivalent bicategories.	E	NEUTRAL	
44	We show that both approaches give equivalent bicategories.	It was shown that these two approaches give bicategories with very different bicategorical properties.	C	NEUTRAL	
45	We show that both approaches give equivalent bicategories.	Both approaches give the same bicategory.	N	NEUTRAL	
